phase,config,compiler,opt,target_func,candidate_func,model,similarity
baseline,openssl-1.0.1c-clang-o0,clang,o0,tls1_process_heartbeat,ssl2_get_server_method,asm2vec,0.000000
baseline,openssl-1.0.1c-clang-o0,clang,o0,tls1_process_heartbeat,ssl2_get_server_method,BinCola,0.013710
baseline,openssl-1.0.1c-clang-o0,clang,o0,tls1_process_heartbeat,ssl2_get_server_method,CLAP,0.477516
baseline,openssl-1.0.1c-clang-o0,clang,o0,tls1_process_heartbeat,ssl2_get_server_method,jTrans,0.328105
baseline,openssl-1.0.1c-clang-o0,clang,o0,tls1_process_heartbeat,ssl2_get_server_method,safe,0.128669
baseline,openssl-1.0.1c-gcc-o1,gcc,o1,tls1_process_heartbeat,FUN_17710,asm2vec,0.000000
baseline,openssl-1.0.1c-gcc-o1,gcc,o1,tls1_process_heartbeat,FUN_17710,BinCola,0.055782
baseline,openssl-1.0.1c-gcc-o1,gcc,o1,tls1_process_heartbeat,FUN_17710,CLAP,0.059139
baseline,openssl-1.0.1c-gcc-o1,gcc,o1,tls1_process_heartbeat,FUN_17710,jTrans,0.114014
baseline,openssl-1.0.1c-gcc-o1,gcc,o1,tls1_process_heartbeat,FUN_17710,safe,0.119997
baseline,openssl-1.0.1c-gcc-o2,gcc,o2,tls1_process_heartbeat,FUN_16f30,asm2vec,0.000000
baseline,openssl-1.0.1c-gcc-o2,gcc,o2,tls1_process_heartbeat,FUN_16f30,BinCola,-0.151270
baseline,openssl-1.0.1c-gcc-o2,gcc,o2,tls1_process_heartbeat,FUN_16f30,CLAP,0.049525
baseline,openssl-1.0.1c-gcc-o2,gcc,o2,tls1_process_heartbeat,FUN_16f30,jTrans,0.238668
baseline,openssl-1.0.1c-gcc-o2,gcc,o2,tls1_process_heartbeat,FUN_16f30,safe,0.000000
baseline,openssl-1.0.1c-gcc-o0,gcc,o0,tls1_process_heartbeat,ssl3_new,asm2vec,0.265445
baseline,openssl-1.0.1c-gcc-o0,gcc,o0,tls1_process_heartbeat,ssl3_new,BinCola,0.126561
baseline,openssl-1.0.1c-gcc-o0,gcc,o0,tls1_process_heartbeat,ssl3_new,CLAP,0.483808
baseline,openssl-1.0.1c-gcc-o0,gcc,o0,tls1_process_heartbeat,ssl3_new,jTrans,0.510599
baseline,openssl-1.0.1c-gcc-o0,gcc,o0,tls1_process_heartbeat,ssl3_new,safe,0.424627
baseline,openssl-1.0.1c-gcc-o3,gcc,o3,tls1_process_heartbeat,SSL_set_session_ticket_ext_cb,asm2vec,0.000000
